Id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1790,F,0.5500,0.3800,0.1650,1.2050,0.5430,0.2940,0.3345,10
1620,I,0.5600,0.4400,0.1300,0.7235,0.3490,0.1490,0.2000,8
1726,F,0.6600,0.5350,0.1750,1.5175,0.7110,0.3125,0.4150,12
2108,M,0.6650,0.5350,0.2250,2.1835,0.7535,0.3910,0.8850,27
3019,I,0.4500,0.3300,0.1150,0.3650,0.1400,0.0825,0.1245,8
3172,F,0.5050,0.4050,0.1800,0.6060,0.2390,0.1235,0.1800,11
667,F,0.4850,0.3800,0.1500,0.6050,0.2155,0.1400,0.1800,15
3921,M,0.3750,0.2800,0.0950,0.2225,0.0875,0.0430,0.0800,10
878,F,0.6350,0.4850,0.1650,1.2945,0.6680,0.2605,0.2715,9
241,I,0.2700,0.2000,0.0700,0.1000,0.0340,0.0245,0.0350,5
2332,F,0.5150,0.4200,0.1350,0.6295,0.2815,0.1270,0.2150,9
1255,I,0.4250,0.3200,0.1000,0.3055,0.1260,0.0600,0.1060,7
340,M,0.5750,0.4550,0.1450,1.1650,0.5810,0.2275,0.3000,14
4116,M,0.6250,0.4800,0.1600,1.2415,0.6575,0.2625,0.2785,9
3753,I,0.4750,0.3600,0.1100,0.4520,0.1910,0.0990,0.1300,8
2955,M,0.6500,0.5200,0.1950,1.6760,0.6930,0.4400,0.4700,15
2720,I,0.3700,0.2750,0.0900,0.2065,0.0960,0.0395,0.0580,7
1780,M,0.5150,0.3500,0.1550,0.9225,0.4185,0.1980,0.2730,9
2505,I,0.3400,0.2550,0.0750,0.1800,0.0745,0.0400,0.0525,6
3275,M,0.4600,0.3550,0.1100,0.4150,0.2150,0.0820,0.1300,12
3831,F,0.5450,0.4200,0.1750,0.7540,0.2560,0.1775,0.2750,10
2728,I,0.4050,0.3100,0.1100,0.9100,0.4160,0.2075,0.0995,8
3712,F,0.7050,0.5300,0.1700,1.5640,0.6120,0.3940,0.4400,10
4169,M,0.5200,0.3850,0.1650,0.7910,0.3750,0.1800,0.1815,10
2916,M,0.5950,0.4700,0.1550,1.2015,0.4920,0.3865,0.2650,10
2370,I,0.4200,0.3250,0.1150,0.3540,0.1625,0.0640,0.1050,8
518,M,0.3250,0.2300,0.0900,0.1470,0.0600,0.0340,0.0450,4
3760,M,0.5300,0.4250,0.1300,0.7020,0.2975,0.1395,0.2200,9
1922,M,0.6100,0.4800,0.1400,1.0310,0.4375,0.2615,0.2700,8
2658,I,0.5500,0.4200,0.1300,0.6360,0.2940,0.1440,0.1755,8
766,F,0.5900,0.4450,0.1300,1.1325,0.3825,0.2340,0.3200,13
2401,F,0.5850,0.4150,0.1550,0.6985,0.3000,0.1460,0.1950,12
1168,M,0.6200,0.4500,0.2000,0.8580,0.4285,0.1525,0.2405,8
474,F,0.5450,0.4150,0.1600,0.7715,0.2720,0.1455,0.2765,10
3819,M,0.5700,0.4500,0.1400,0.9275,0.4770,0.1605,0.2515,8
906,I,0.3250,0.2400,0.0750,0.1870,0.0825,0.0445,0.0500,6
2580,M,0.5250,0.4250,0.1250,0.8120,0.4035,0.1705,0.1950,8
3181,M,0.5000,0.3850,0.1350,0.5510,0.2245,0.0715,0.2060,11
1789,F,0.5450,0.3850,0.1500,1.1185,0.5425,0.2445,0.2845,9
838,F,0.4800,0.3650,0.1350,0.6395,0.2945,0.1130,0.1750,8
2312,I,0.3150,0.2400,0.0700,0.1370,0.0545,0.0315,0.0400,8
268,M,0.4700,0.3900,0.1500,0.6355,0.2185,0.0885,0.2550,9
1049,M,0.7150,0.5650,0.1750,1.9525,0.7645,0.4185,0.4135,10
4049,M,0.6250,0.4950,0.1550,1.0250,0.4600,0.1945,0.3400,9
3940,M,0.5050,0.3900,0.1050,0.6555,0.2595,0.1800,0.1900,11
3043,M,0.5750,0.4450,0.1400,0.7370,0.3250,0.1405,0.2370,10
107,F,0.5000,0.4000,0.1250,0.6675,0.2610,0.1315,0.2200,10
4118,M,0.6500,0.5250,0.1850,1.3455,0.5860,0.2780,0.3865,9
3573,F,0.5950,0.4650,0.1450,0.7955,0.3425,0.1795,0.2425,10
3196,I,0.3250,0.2450,0.0750,0.1495,0.0605,0.0330,0.0450,5
1081,I,0.4350,0.3300,0.1100,0.4130,0.2055,0.0960,0.0960,6
574,I,0.6100,0.4750,0.1500,0.9665,0.4145,0.2000,0.3450,10
731,M,0.5450,0.4200,0.1300,0.8790,0.3740,0.1695,0.2300,13
1994,I,0.2900,0.2100,0.0650,0.0970,0.0375,0.0220,0.0300,6
3806,I,0.4250,0.3100,0.0950,0.3505,0.1645,0.0710,0.1000,8
238,I,0.1100,0.0900,0.0300,0.0080,0.0025,0.0020,0.0030,3
3639,I,0.4400,0.3200,0.0950,0.3275,0.1495,0.0590,0.1000,8
2506,I,0.3750,0.3000,0.0750,0.1440,0.0590,0.0300,0.0440,7
2605,F,0.6200,0.4750,0.1600,1.3245,0.6865,0.2330,0.3275,9
2060,M,0.5000,0.3900,0.1350,0.7815,0.3610,0.1575,0.2385,9
1426,F,0.7450,0.5700,0.2150,2.2500,1.1565,0.4460,0.5580,9
2094,I,0.4050,0.3050,0.0900,0.2825,0.1140,0.0575,0.0950,7
3644,I,0.4750,0.3650,0.1050,0.4175,0.1645,0.0990,0.1270,7
2522,M,0.5450,0.4500,0.1500,0.8795,0.3870,0.1500,0.2625,11
2016,M,0.5050,0.3900,0.1200,0.6530,0.3315,0.1385,0.1670,9
1694,M,0.6300,0.5050,0.1700,1.0915,0.4615,0.2660,0.3000,9
3718,I,0.3600,0.2500,0.1150,0.4650,0.2100,0.1055,0.1280,7
980,F,0.5500,0.4450,0.1550,0.9905,0.5440,0.1780,0.2180,9
2776,M,0.5850,0.4650,0.1650,0.8850,0.4025,0.1625,0.2740,10
1476,F,0.5600,0.4350,0.1500,0.8715,0.4755,0.1835,0.1835,9
1158,M,0.6050,0.4750,0.1400,1.1175,0.5550,0.2570,0.2740,9
2941,F,0.6300,0.4800,0.1650,1.2615,0.5505,0.2770,0.3885,10
3235,M,0.6650,0.5350,0.1550,1.3830,0.5960,0.2565,0.4850,14
912,I,0.3450,0.2650,0.1000,0.2455,0.1110,0.0535,0.0650,7
204,M,0.4200,0.3350,0.1150,0.3690,0.1710,0.0710,0.1200,8
190,M,0.6150,0.4800,0.1800,1.1595,0.4845,0.2165,0.3250,13
487,F,0.6250,0.5150,0.1500,1.2415,0.5235,0.3065,0.3600,15
2612,F,0.6350,0.4950,0.1800,1.5960,0.6170,0.3170,0.3700,11
1977,F,0.7000,0.5750,0.2050,1.7730,0.6050,0.4470,0.5380,13
438,M,0.3900,0.3000,0.0900,0.3055,0.1430,0.0645,0.0850,9
244,I,0.3300,0.2550,0.0850,0.1655,0.0630,0.0390,0.0600,8
609,M,0.3500,0.2650,0.0900,0.1775,0.0575,0.0420,0.0680,12
2572,I,0.4750,0.3850,0.1100,0.5735,0.3110,0.1025,0.1360,7
3656,I,0.5300,0.3950,0.1250,0.6235,0.2975,0.1080,0.1950,11
3188,M,0.7200,0.5750,0.2300,2.2695,0.8835,0.3985,0.6650,16
1183,M,0.6650,0.5250,0.1600,1.3630,0.6290,0.2790,0.3400,8
2792,M,0.6250,0.4900,0.1650,1.2050,0.5175,0.3105,0.3465,10
3511,M,0.6550,0.5200,0.1800,1.4920,0.7185,0.3600,0.3550,11
2988,M,0.5550,0.4250,0.1500,0.8730,0.4625,0.1845,0.1965,9
2368,F,0.7200,0.5950,0.2250,1.9690,0.8045,0.4230,0.6600,16
108,F,0.5100,0.3900,0.1350,0.6335,0.2310,0.1790,0.2000,9
1354,I,0.6000,0.4750,0.1500,1.1200,0.5650,0.2465,0.2700,10
1079,I,0.4250,0.3250,0.1150,0.3685,0.1620,0.0865,0.1045,7
3042,I,0.5750,0.4300,0.1300,0.7425,0.2895,0.2005,0.2200,8
4104,F,0.7100,0.5450,0.1750,1.9070,0.8725,0.4565,0.4750,11
3367,I,0.5900,0.4650,0.1950,1.0885,0.3685,0.1870,0.3750,17
426,F,0.6100,0.4850,0.1650,1.0915,0.3935,0.2435,0.3300,18
4013,M,0.6250,0.5050,0.1750,1.1310,0.5425,0.2265,0.3230,8
4048,F,0.6250,0.4950,0.1600,1.2340,0.6335,0.1920,0.3500,13
3856,I,0.3350,0.2550,0.0850,0.1785,0.0710,0.0405,0.0550,9
2519,I,0.5050,0.3900,0.1850,0.6125,0.2670,0.1420,0.1720,7
1861,M,0.5150,0.3850,0.1100,0.5785,0.2530,0.1600,0.1400,8
1603,I,0.5400,0.4300,0.1400,0.8195,0.3935,0.1725,0.2295,9
943,I,0.4650,0.3450,0.1100,0.4415,0.1755,0.0905,0.1200,7
2985,I,0.5350,0.4000,0.1350,0.7750,0.3680,0.2080,0.2055,8
3621,F,0.6550,0.4550,0.1700,1.2750,0.5830,0.3030,0.3330,8
1296,M,0.5250,0.4200,0.1550,0.8420,0.4280,0.1415,0.2045,9
2837,F,0.5800,0.4450,0.1350,0.9500,0.4840,0.1820,0.2325,8
2066,F,0.5400,0.3850,0.1400,0.7655,0.3265,0.1160,0.2365,10
2694,F,0.6500,0.5350,0.1750,1.2895,0.6095,0.2765,0.3440,10
812,I,0.2350,0.1750,0.0550,0.0670,0.0270,0.0125,0.0180,6
459,F,0.5250,0.4100,0.1350,0.7085,0.2930,0.1525,0.2350,11
254,M,0.6000,0.4950,0.1650,1.2415,0.4850,0.2775,0.3400,15
933,I,0.4500,0.3600,0.1300,0.4780,0.1910,0.1270,0.1370,7
303,M,0.3600,0.2700,0.1000,0.2170,0.0885,0.0495,0.0715,6
2835,M,0.5700,0.4200,0.1400,0.8745,0.4160,0.1650,0.2500,8
1138,M,0.5750,0.4350,0.1400,0.8455,0.4010,0.1910,0.2220,9
676,M,0.5400,0.4150,0.1450,0.7400,0.2635,0.1680,0.2450,12
1550,I,0.3850,0.3000,0.0900,0.3080,0.1525,0.0560,0.0835,8
2556,I,0.3800,0.2850,0.0850,0.2370,0.1150,0.0405,0.0700,6
2888,I,0.5100,0.4000,0.1250,0.5935,0.2390,0.1300,0.2040,8
144,M,0.4750,0.3750,0.1300,0.5175,0.2075,0.1165,0.1700,10
4157,M,0.4750,0.3600,0.1400,0.5135,0.2410,0.1045,0.1550,8
3454,F,0.5750,0.4600,0.1650,1.0650,0.4985,0.2145,0.2815,8
1452,I,0.4700,0.3450,0.1400,0.4615,0.2290,0.1105,0.1160,9
2521,M,0.5400,0.4200,0.1200,0.8115,0.3920,0.1455,0.2235,9
41,F,0.5500,0.4250,0.1350,0.8515,0.3620,0.1960,0.2700,14
4061,M,0.6200,0.4650,0.1450,0.9110,0.3750,0.2145,0.2780,10
1549,I,0.3850,0.2800,0.0950,0.2570,0.1190,0.0590,0.0700,7
1264,I,0.4550,0.3300,0.1000,0.3720,0.3580,0.0775,0.1100,8
3919,I,0.5650,0.4300,0.1350,0.8545,0.3210,0.1775,0.2750,11
4162,M,0.3850,0.2550,0.1000,0.3175,0.1370,0.0680,0.0920,8
2878,F,0.4650,0.3500,0.1100,0.4085,0.1650,0.1020,0.1310,8
1663,M,0.6050,0.4750,0.1450,0.8840,0.3835,0.1905,0.2700,8
4012,F,0.6200,0.4650,0.1400,1.0110,0.4790,0.2385,0.2550,8
1828,I,0.3500,0.2650,0.0800,0.2000,0.0900,0.0420,0.0600,7
3016,I,0.4350,0.3350,0.1050,0.3535,0.1560,0.0500,0.1135,7
2175,M,0.5750,0.4500,0.1850,0.9250,0.3420,0.1970,0.3500,12
2438,F,0.5150,0.4000,0.1700,0.7960,0.2580,0.1755,0.2800,16
1482,M,0.5850,0.4550,0.1500,0.9060,0.4095,0.2300,0.2335,8
2847,M,0.6250,0.5000,0.1300,1.0820,0.5785,0.2045,0.2500,8
2696,F,0.6500,0.4900,0.1550,1.1220,0.5450,0.2280,0.3055,9
2865,I,0.3150,0.2350,0.0750,0.1285,0.0510,0.0280,0.0405,4
1989,I,0.2800,0.2100,0.0750,0.1195,0.0530,0.0265,0.0300,6
1612,I,0.5500,0.4250,0.1500,0.6390,0.2690,0.1345,0.2170,9
3156,M,0.5350,0.4400,0.1650,0.8750,0.2790,0.1800,0.3000,10
390,I,0.4150,0.3250,0.1000,0.3215,0.1535,0.0595,0.1050,10
1934,M,0.6200,0.4700,0.1500,1.3090,0.5870,0.4405,0.3250,9
1058,I,0.2450,0.1800,0.0650,0.0710,0.0300,0.0130,0.0215,4
187,F,0.6300,0.5000,0.1850,1.3830,0.5400,0.3315,0.3800,10
1771,I,0.4550,0.3250,0.1350,0.8200,0.4005,0.1715,0.2110,8
3694,M,0.6500,0.4950,0.1600,1.2075,0.5500,0.2695,0.3200,10
251,M,0.5900,0.4700,0.1800,1.1235,0.4205,0.2805,0.3600,13
535,I,0.4650,0.3800,0.1300,0.4540,0.1895,0.0800,0.1550,11
357,F,0.6450,0.5250,0.1900,1.8085,0.7035,0.3885,0.3950,18
278,M,0.6350,0.5250,0.2050,1.4840,0.5500,0.3115,0.4300,20
1717,F,0.6500,0.4950,0.1550,1.3370,0.6150,0.3195,0.3350,9
4017,M,0.6600,0.5050,0.1900,1.4385,0.6775,0.2850,0.1780,11
1463,M,0.5050,0.3850,0.1050,0.5525,0.2390,0.1245,0.1555,9
3161,F,0.3350,0.2200,0.0700,0.1700,0.0760,0.0365,0.0500,6
2000,I,0.3550,0.2700,0.1050,0.2710,0.1425,0.0525,0.0735,9
4019,M,0.6600,0.5150,0.1550,1.4415,0.7055,0.3555,0.3350,10
232,M,0.6250,0.5050,0.2150,1.4455,0.4960,0.2870,0.4350,22
610,F,0.4400,0.3450,0.1700,0.4085,0.1500,0.0825,0.1515,12
3778,I,0.5900,0.4500,0.1250,0.8600,0.4370,0.1515,0.2450,9
1894,M,0.5700,0.4600,0.1550,1.0005,0.4540,0.2050,0.2650,11
3800,M,0.7400,0.5800,0.2050,2.3810,0.8155,0.4695,0.4880,12
328,M,0.3600,0.2950,0.1050,0.2410,0.0865,0.0530,0.0950,8
937,I,0.4550,0.3550,0.1250,0.5325,0.2250,0.1260,0.1465,7
2577,I,0.5050,0.3850,0.1200,0.6005,0.2390,0.1420,0.1850,7
781,M,0.5050,0.3850,0.1500,0.6415,0.2460,0.1520,0.2150,12
2432,F,0.6100,0.4850,0.1650,1.0870,0.4255,0.2320,0.3800,11
68,F,0.4750,0.3900,0.1200,0.5305,0.2135,0.1155,0.1700,10
1700,M,0.6350,0.5000,0.1700,1.4345,0.6110,0.3090,0.4180,12
993,M,0.5800,0.4550,0.1500,1.0120,0.4985,0.2115,0.2835,10
1190,F,0.6900,0.5300,0.1700,1.5535,0.7945,0.3485,0.3695,9
3952,I,0.3150,0.2350,0.0800,0.1800,0.0800,0.0450,0.0470,5
1224,I,0.3450,0.2550,0.0950,0.1945,0.0925,0.0370,0.0550,6
3203,F,0.6350,0.5050,0.1850,1.3035,0.5010,0.2950,0.4100,17
3590,F,0.6500,0.5200,0.1950,1.6275,0.6890,0.3905,0.4320,11
3048,I,0.5900,0.4700,0.1450,0.9740,0.4530,0.2360,0.2890,8
1749,M,0.7100,0.5750,0.2150,2.0090,0.9895,0.4475,0.5020,11
2812,I,0.2400,0.1700,0.0500,0.0545,0.0205,0.0160,0.0155,5
3438,I,0.4300,0.3350,0.1050,0.3780,0.1880,0.0785,0.0900,6
2209,F,0.5500,0.4650,0.1800,1.2125,0.3245,0.2050,0.5250,27
2277,F,0.6000,0.4750,0.1800,1.1805,0.4345,0.2475,0.4250,19
1784,M,0.5300,0.4100,0.1400,0.7545,0.3495,0.1715,0.2105,8
3815,I,0.4600,0.3400,0.1000,0.3860,0.1805,0.0875,0.0965,8
2936,M,0.6250,0.4950,0.1750,1.2075,0.5310,0.2810,0.3525,11
3698,F,0.6500,0.5100,0.1750,1.3500,0.5750,0.3155,0.3885,10
3215,F,0.6200,0.4850,0.1750,1.2710,0.5310,0.3075,0.3700,11
3582,F,0.6250,0.4750,0.1600,1.3335,0.6050,0.2875,0.3190,10
1798,M,0.6000,0.4950,0.1750,1.3005,0.6195,0.2840,0.3285,11
636,M,0.3800,0.2350,0.1000,0.2580,0.1055,0.0540,0.0800,7
2234,F,0.5700,0.4500,0.1650,0.9030,0.3305,0.1845,0.2950,14
784,I,0.2150,0.1550,0.0600,0.0525,0.0210,0.0165,0.0150,5
522,I,0.3650,0.2600,0.1150,0.2180,0.0935,0.0445,0.0700,9
2869,I,0.3700,0.2800,0.0850,0.1980,0.0805,0.0455,0.0580,5
897,I,0.2650,0.1950,0.0600,0.0920,0.0345,0.0250,0.0245,6
2355,M,0.5550,0.4400,0.1350,0.9025,0.3805,0.2105,0.2800,13
4045,M,0.5900,0.4500,0.1600,0.9980,0.4450,0.2140,0.3010,9
1210,I,0.1850,0.3750,0.1200,0.4645,0.1960,0.1045,0.1500,6
1083,I,0.4400,0.3300,0.1100,0.3705,0.1545,0.0840,0.1200,7
1017,F,0.6300,0.4950,0.1650,1.3075,0.5990,0.2840,0.3150,11
1403,F,0.6500,0.5100,0.1700,1.5670,0.7245,0.3490,0.3910,10
4094,M,0.6300,0.5300,0.1750,1.4135,0.6670,0.2945,0.3555,13
2871,I,0.3750,0.2800,0.0850,0.2145,0.0855,0.0485,0.0720,7
2076,F,0.6000,0.4700,0.1900,1.1345,0.4920,0.2595,0.3375,10
1374,M,0.6150,0.4800,0.1750,1.1180,0.4460,0.3195,0.3000,9
2674,M,0.5950,0.4600,0.1400,0.8520,0.4215,0.2255,0.2270,9
1244,I,0.3850,0.3000,0.0950,0.3020,0.1520,0.0615,0.0735,7
3007,M,0.7300,0.5850,0.2250,2.2305,1.2395,0.4220,0.5630,14
2932,M,0.6150,0.4550,0.1500,0.9335,0.3820,0.2470,0.2615,10
145,F,0.4900,0.3800,0.1250,0.5490,0.2450,0.1075,0.1740,10
8,M,0.4750,0.3700,0.1250,0.5095,0.2165,0.1125,0.1650,9
3044,I,0.5750,0.4450,0.1600,0.9175,0.4500,0.1935,0.2400,9
393,I,0.3650,0.2950,0.0950,0.2500,0.1075,0.0545,0.0800,9
3797,M,0.6950,0.5800,0.2000,1.8995,0.6750,0.4780,0.5295,13
80,F,0.5750,0.4450,0.1400,0.9410,0.3845,0.2520,0.2850,9
162,M,0.6100,0.4850,0.1750,1.2445,0.5440,0.2970,0.3450,12
3158,M,0.5500,0.4350,0.1100,0.8060,0.3415,0.2030,0.2150,9
203,F,0.5300,0.4350,0.1700,0.8155,0.2985,0.1550,0.2750,13
1106,I,0.5100,0.4000,0.1250,0.5575,0.2615,0.1195,0.1525,9
1444,I,0.4250,0.3400,0.1050,0.3890,0.2015,0.0905,0.0880,6
1846,I,0.4650,0.3700,0.1100,0.4450,0.1635,0.0960,0.1660,7
3301,F,0.6600,0.5250,0.1900,1.6700,0.6525,0.4875,0.4900,11
359,F,0.6850,0.5450,0.1800,1.7680,0.7495,0.3920,0.4850,16
1419,F,0.7050,0.5700,0.1800,1.5345,0.9600,0.4195,0.4300,12
486,M,0.5500,0.4500,0.1300,0.9200,0.3780,0.2385,0.2900,11
1187,M,0.6850,0.5200,0.1650,1.5190,0.6990,0.3685,0.4000,10
13,F,0.5350,0.4050,0.1450,0.6845,0.2725,0.1710,0.2050,10
1231,I,0.3650,0.2650,0.0850,0.2130,0.0945,0.0490,0.0600,7
2242,F,0.4750,0.3800,0.1350,0.4860,0.1735,0.0700,0.1850,7
2416,M,0.4250,0.3150,0.1250,0.3525,0.1135,0.0565,0.1300,18
379,F,0.6100,0.4950,0.1850,1.1085,0.3705,0.3135,0.3300,12
2838,M,0.5900,0.4700,0.1550,1.1735,0.6245,0.2330,0.2595,9
294,M,0.6000,0.4950,0.1950,1.0575,0.3840,0.1900,0.3750,26
1610,I,0.5450,0.4200,0.1250,0.7170,0.3580,0.1120,0.2200,8
2566,F,0.4550,0.3500,0.1200,0.4555,0.1945,0.1045,0.1375,7
757,F,0.6050,0.4950,0.1900,1.4370,0.4690,0.2655,0.4100,15
1063,I,0.2850,0.2200,0.0650,0.0960,0.0405,0.0205,0.0300,5
3880,I,0.3800,0.3000,0.1000,0.2860,0.1305,0.0560,0.0900,7
84,M,0.5800,0.4500,0.1400,1.0130,0.3800,0.2160,0.3600,14
3477,I,0.4000,0.3000,0.1100,0.2985,0.1375,0.0710,0.0750,6
1055,I,0.1950,0.1350,0.0400,0.0325,0.0135,0.0050,0.0095,4
2885,I,0.5050,0.4000,0.1250,0.5605,0.2255,0.1435,0.1700,8
2510,I,0.4200,0.3200,0.1000,0.3400,0.1745,0.0500,0.0945,8
345,M,0.4900,0.3900,0.1400,0.7070,0.2795,0.2185,0.1800,13
966,I,0.5100,0.3750,0.1000,0.5785,0.2380,0.1225,0.1750,7
3928,I,0.7250,0.5500,0.2200,2.0495,0.7735,0.4405,0.6550,10
2879,I,0.4700,0.3850,0.1300,0.5870,0.2640,0.1170,0.1740,8
2933,F,0.6150,0.4950,0.1650,1.1980,0.5415,0.2865,0.3185,10
59,F,0.5050,0.4000,0.1250,0.5830,0.2460,0.1300,0.1750,7
3416,M,0.5600,0.4500,0.1400,0.9000,0.4720,0.1820,0.2180,7
1918,F,0.6000,0.4650,0.1600,1.1330,0.4660,0.2885,0.2980,11
1573,I,0.4800,0.3700,0.1200,0.5360,0.2510,0.1140,0.1500,8
4080,I,0.5550,0.4300,0.1250,0.7005,0.3395,0.1355,0.2095,8
2699,M,0.6700,0.5000,0.2000,1.2690,0.5760,0.2985,0.3510,11
963,M,0.5050,0.4100,0.1250,0.6420,0.2890,0.1330,0.1550,9
3769,F,0.5600,0.4300,0.1450,0.8980,0.3895,0.2325,0.2450,9
1074,I,0.4100,0.3000,0.1000,0.2820,0.1255,0.0570,0.0875,7
2945,F,0.6350,0.4850,0.1900,1.3765,0.6340,0.2885,0.4060,11
3254,F,0.4350,0.3500,0.1050,0.4195,0.1940,0.1005,0.1300,7
3370,M,0.4550,0.3450,0.1250,0.4400,0.1690,0.1065,0.1350,12
2485,I,0.3550,0.2600,0.0900,0.1925,0.0770,0.0380,0.0650,8
1673,I,0.6100,0.4650,0.1250,0.9225,0.4360,0.1900,0.2600,9
2961,F,0.6650,0.5100,0.1750,1.3805,0.6750,0.2985,0.3250,10
4146,M,0.6950,0.5300,0.2100,1.5100,0.6640,0.4095,0.3850,10
3808,M,0.5150,0.3850,0.1300,0.6230,0.2855,0.1285,0.1750,10
3013,I,0.3900,0.2800,0.0900,0.2150,0.0845,0.0340,0.0790,8
440,I,0.3600,0.2750,0.1100,0.2335,0.0950,0.0525,0.0850,10
2493,I,0.4200,0.3100,0.1000,0.2865,0.1150,0.0735,0.0850,8
477,M,0.6650,0.5400,0.1750,1.3470,0.4955,0.2540,0.4150,17
3687,I,0.6250,0.4850,0.1600,1.1500,0.5255,0.2570,0.3315,11
3852,M,0.5500,0.4100,0.1500,0.7850,0.2820,0.1860,0.2750,12
1117,I,0.5300,0.4000,0.1250,0.6170,0.2790,0.1270,0.1900,8
1829,I,0.3650,0.2700,0.0850,0.1970,0.0815,0.0325,0.0650,6
715,I,0.2750,0.2000,0.0650,0.1035,0.0475,0.0205,0.0300,7
3374,F,0.4750,0.3750,0.1250,0.5880,0.2370,0.1715,0.1550,10
1999,I,0.3500,0.2500,0.0700,0.1605,0.0715,0.0335,0.0460,6
2491,F,0.5150,0.3950,0.1650,0.7565,0.1905,0.1700,0.3205,10
3380,I,0.1900,0.1300,0.0450,0.0265,0.0090,0.0050,0.0090,5
2761,I,0.5500,0.4250,0.1450,0.8900,0.4325,0.1710,0.2360,10
3738,F,0.6350,0.5050,0.1700,1.2635,0.5120,0.3220,0.3550,9
6,F,0.5300,0.4150,0.1500,0.7775,0.2370,0.1415,0.3300,20
1819,M,0.6950,0.5300,0.1900,1.7260,0.7625,0.4360,0.4550,11
3436,I,0.3800,0.2750,0.0950,0.2505,0.0945,0.0655,0.0750,6
2564,I,0.4500,0.3500,0.1250,0.4775,0.2235,0.0890,0.1180,6
1529,M,0.7400,0.5700,0.1800,1.8725,0.9115,0.4270,0.4460,10
1372,F,0.6150,0.4750,0.1650,1.0230,0.4905,0.1955,0.3035,12
125,I,0.2700,0.1950,0.0600,0.0730,0.0285,0.0235,0.0300,5
3079,F,0.7000,0.5550,0.2200,1.6660,0.6470,0.4285,0.4550,11
2617,M,0.6700,0.5200,0.1900,1.6385,0.8115,0.3690,0.3910,9
2790,F,0.6200,0.4800,0.1650,1.0125,0.5325,0.4365,0.3240,10
708,M,0.3600,0.2950,0.1300,0.2765,0.0895,0.0570,0.1005,10
2626,I,0.2200,0.1600,0.0500,0.0490,0.0215,0.0100,0.0150,4
3124,F,0.5750,0.4500,0.1350,0.8285,0.3620,0.1655,0.2360,10
391,M,0.4750,0.3750,0.1250,0.5930,0.2770,0.1150,0.1800,10
2770,F,0.5700,0.4450,0.1550,1.0170,0.5265,0.2025,0.2650,10
220,F,0.4450,0.3250,0.1250,0.4550,0.1785,0.1125,0.1400,9
985,M,0.5700,0.4500,0.1550,1.1935,0.5130,0.2100,0.3430,10
2661,M,0.5650,0.4300,0.1300,0.7840,0.3495,0.1885,0.2130,9
1238,I,0.3750,0.2800,0.0800,0.2025,0.0825,0.0480,0.0650,8
1041,F,0.6750,0.5700,0.2250,1.5870,0.7390,0.2995,0.4350,10
58,I,0.2450,0.1900,0.0600,0.0860,0.0420,0.0140,0.0250,4
568,M,0.2800,0.2100,0.0800,0.1085,0.0410,0.0265,0.0345,7
2606,M,0.6250,0.4800,0.1700,1.3555,0.6710,0.2680,0.3385,10
813,I,0.2550,0.1850,0.0600,0.0880,0.0365,0.0210,0.0230,5
3278,M,0.5250,0.4150,0.1600,0.6445,0.2600,0.1575,0.2200,12
1961,F,0.6550,0.5150,0.1800,1.4120,0.6195,0.2485,0.4970,11
3575,M,0.6000,0.4700,0.1500,0.9280,0.4225,0.1830,0.2750,8
3631,I,0.2950,0.2200,0.0850,0.1285,0.0585,0.0270,0.0365,5
703,M,0.3950,0.2950,0.1150,0.3160,0.1205,0.0595,0.1105,12
3641,I,0.4650,0.3700,0.1150,0.4075,0.1515,0.0935,0.1455,9
261,F,0.5700,0.4400,0.1250,0.8650,0.3675,0.1725,0.2700,12
3699,M,0.6500,0.5250,0.1900,1.3685,0.5975,0.2960,0.4000,11
1897,M,0.5700,0.4150,0.1300,0.8800,0.4275,0.1955,0.2380,13
1091,I,0.4500,0.3300,0.1100,0.3685,0.1600,0.0885,0.1020,6
2196,I,0.3700,0.2800,0.0900,0.2330,0.0905,0.0545,0.0700,11
1293,I,0.5200,0.4000,0.1300,0.5825,0.2330,0.1365,0.1800,10
2978,M,0.4850,0.3650,0.1550,1.0290,0.4235,0.2285,0.3130,8
1173,M,0.6300,0.5000,0.1750,1.2645,0.5635,0.3065,0.3425,10
3615,M,0.6150,0.4750,0.1900,1.4335,0.7315,0.3050,0.3285,9
1136,F,0.5750,0.4600,0.1450,0.9945,0.4660,0.2290,0.2650,7
1626,F,0.5700,0.4500,0.1350,0.7805,0.3345,0.1850,0.2100,8
717,I,0.2500,0.1900,0.0600,0.0765,0.0360,0.0115,0.0245,6
1748,F,0.7050,0.5450,0.1700,1.5800,0.6435,0.4565,0.2650,11
1025,M,0.6450,0.5200,0.1750,1.6360,0.7790,0.3420,0.4320,11
384,M,0.5450,0.4250,0.1350,0.8445,0.3730,0.2100,0.2350,10
1554,I,0.4100,0.3000,0.0900,0.3040,0.1290,0.0710,0.0955,8
588,M,0.4500,0.3350,0.1400,0.4625,0.1640,0.0760,0.1500,14
2110,I,0.3250,0.2500,0.0550,0.1660,0.0760,0.0510,0.0450,5
1854,I,0.4950,0.3750,0.1400,0.4940,0.1810,0.0975,0.1910,8
1477,M,0.5700,0.4450,0.1500,0.9875,0.5040,0.2070,0.2490,8
